UDI,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
165,L,298.2,309.2,1242,18.8,205,0
166,M,300.2,311.0,1473,41.9,171,0
167,L,302.3,313.1,1495,37.4,136,0
168,L,301.9,312.4,1670,33.0,70,0
169,L,300.1,310.2,1414,54.0,205,0
170,L,299.3,309.1,1322,37.6,79,0
171,M,301.9,313.1,1321,40.6,187,0
172,L,301.3,311.0,1743,48.0,137,0
173,L,298.8,309.1,1405,25.1,126,0
174,L,298.4,307.6,1439,39.8,123,0
175,M,295.9,305.2,1651,47.9,132,0
176,L,300.3,310.1,1412,39.1,50,0
177,M,299.8,309.0,1232,27.0,6,0
178,L,302.3,313.1,1254,35.2,21,0
179,H,300.7,309.4,1527,41.9,23,0
180,L,302.7,312.8,1627,18.9,125,0
181,L,298.6,308.7,1501,26.5,103,0
182,L,302.3,310.5,1615,59.7,41,0
183,H,298.9,308.5,1249,44.8,250,0
184,M,301.6,311.8,1261,54.8,149,0
185,L,297.1,307.5,1941,48.7,246,0
186,M,300.5,310.3,1758,43.9,162,0
187,M,296.0,306.7,1675,36.9,237,0
188,L,299.5,309.4,1419,43.8,115,0
189,L,300.9,310.9,1495,54.5,182,0
190,L,299.0,309.2,1537,48.3,245,0
191,L,297.9,308.8,1773,41.7,130,0
192,M,301.7,311.0,1610,38.3,110,0
193,H,299.8,309.3,1632,45.0,105,0
194,M,299.0,308.4,1507,34.7,198,0
195,L,300.1,309.8,1679,45.0,18,0
196,L,305.3,316.7,1592,33.0,169,0
197,M,302.3,312.9,1545,36.5,252,0
198,M,302.3,311.2,1404,29.7,173,0
199,M,300.9,310.3,1517,35.6,71,0
200,M,300.3,310.7,1344,33.2,124,0
201,M,295.2,304.3,1530,56.9,214,0
202,L,298.6,307.9,1553,31.1,147,0
203,L,299.0,310.4,1107,43.8,32,0
204,M,296.3,305.6,1496,30.5,133,0
205,M,297.7,308.6,1327,40.5,14,0
206,L,296.0,307.3,1627,42.9,68,0
207,L,299.9,309.2,1652,21.5,205,0
208,M,301.6,310.7,1461,26.0,200,0
209,L,302.2,311.9,1636,30.5,89,0
210,L,300.8,309.7,1643,27.0,223,0
211,L,298.1,308.2,1496,40.8,30,0
212,M,296.1,305.9,1812,42.4,5,0
213,M,296.5,306.8,1408,29.4,128,0
214,L,297.5,308.9,1801,41.2,146,0
215,M,298.2,309.0,1497,35.8,14,0
216,L,299.7,310.2,1387,39.0,33,0
217,L,298.0,306.0,1475,33.7,191,0
218,M,300.7,311.1,1341,44.9,82,0
219,M,299.5,311.3,1678,56.3,176,0
220,M,300.0,307.0,1251,47.7,202,0
221,M,302.3,313.0,1786,53.9,81,0
222,L,297.6,307.5,1370,26.0,215,0
223,L,300.8,310.0,1687,33.2,173,0
224,L,300.0,310.8,1542,45.7,50,0
225,L,299.3,311.0,1586,55.1,200,0
226,L,301.8,312.5,1432,46.5,10,0
227,H,301.8,311.4,1601,29.7,234,0
228,L,298.1,307.2,1562,35.7,3,0
229,M,299.6,309.8,1277,43.3,81,0
230,M,300.6,311.4,1365,38.4,235,0
231,M,299.5,309.1,1441,32.0,214,0
232,L,301.2,310.9,1402,37.1,40,0
233,L,300.6,313.4,1762,39.9,228,0
234,L,303.7,314.7,1539,29.2,191,0
235,L,296.9,308.1,1398,49.8,0,0
236,M,299.8,308.3,1450,35.6,216,0
237,L,298.2,307.5,1447,39.3,8,0
238,L,301.2,311.3,1486,50.4,166,0
239,M,296.8,305.8,1345,38.8,64,0
240,L,300.7,312.3,1392,49.8,115,0
241,H,298.7,310.2,1675,29.7,16,0
242,H,298.5,308.0,1571,44.3,66,0
243,H,297.1,308.9,1510,48.4,86,0
244,L,299.1,309.1,1538,31.7,0,0
245,L,302.2,314.8,1529,38.2,151,0
246,H,299.9,310.1,1500,38.4,204,0
247,L,301.3,311.8,1630,42.1,121,0
248,H,303.3,314.7,1617,44.7,147,0
249,H,300.5,311.8,1256,30.9,191,0
250,M,298.9,309.4,1514,39.4,147,0
251,L,300.9,310.8,1268,55.9,123,0
252,L,298.9,309.4,1651,50.5,203,0
253,M,299.0,308.2,1675,47.9,80,1
254,L,297.0,307.1,1428,38.1,84,0
255,L,301.9,310.7,1517,61.3,167,0
256,L,299.2,307.4,1160,50.3,215,0
257,H,300.4,310.4,1712,40.4,157,0
258,M,297.9,309.2,1665,42.2,150,0
259,L,300.9,311.8,1743,35.4,22,0
260,L,298.5,308.4,1804,43.9,119,0
261,M,299.7,311.5,1318,45.9,55,0
262,H,301.8,311.2,1696,47.0,46,0
263,L,301.6,309.7,1802,38.2,144,0
264,L,300.0,307.8,1270,25.3,1,0
265,M,296.5,305.3,1507,42.4,105,0
266,M,306.0,316.8,1472,47.1,215,0
267,M,303.5,312.9,1691,30.2,32,0
268,M,301.4,311.9,1109,39.1,248,0
269,L,298.5,310.1,1863,53.4,248,0
270,L,299.8,308.7,1517,28.0,236,0
271,M,298.9,309.4,1701,37.2,107,0
272,M,302.5,313.1,1527,54.9,14,0
273,M,300.5,309.7,1626,41.6,31,0
274,H,298.4,309.8,1122,34.7,105,0
275,L,299.1,308.8,1469,39.9,161,0
276,L,302.2,311.9,1689,48.3,187,0
277,M,303.2,315.3,1589,38.0,213,0
278,M,303.1,313.6,1245,46.0,30,0
279,M,301.5,312.4,1548,42.3,14,0
280,M,299.5,310.8,1391,43.2,147,0
281,M,293.5,302.9,1375,46.6,105,0
282,L,300.6,311.8,1265,37.1,214,0
283,L,300.0,309.5,1648,30.6,30,0
284,L,300.3,309.7,1737,44.7,1,0
285,L,300.1,309.8,1917,38.7,12,0
286,L,297.3,306.7,1274,35.5,233,0
287,L,301.1,311.9,1675,45.3,95,0
288,L,301.3,311.5,1687,52.8,112,0
289,L,301.4,310.9,1434,38.5,143,0
290,L,301.9,312.6,1373,40.1,14,0
291,L,301.2,310.9,1343,28.2,24,0
292,L,299.2,308.9,1443,37.8,75,0
293,M,299.9,309.9,1574,42.2,27,0
294,L,300.2,310.6,1781,39.8,104,0
295,L,300.2,310.6,1735,36.4,11,0
296,L,302.0,311.6,1248,47.3,120,0
297,M,301.3,312.1,1396,40.6,212,0
298,L,304.2,313.9,1770,65.9,203,0
299,M,304.4,313.8,1407,42.1,242,0
300,L,300.2,308.7,1527,12.5,181,0
301,L,292.3,303.3,1232,28.9,185,0
302,L,302.5,312.5,1744,45.3,112,0
303,L,298.9,309.1,1195,33.6,143,0
304,M,298.4,309.4,1243,34.2,189,0
305,M,299.2,308.7,1726,27.6,73,0
306,H,299.1,307.7,1881,35.2,247,0
307,L,301.2,311.3,1485,41.9,137,0
308,L,296.9,307.2,1529,43.9,243,0
309,M,297.8,307.6,1700,29.8,193,0
310,L,300.7,312.2,1589,48.1,90,0
311,L,301.2,308.8,1471,28.1,51,0
312,L,301.3,312.4,1451,44.4,29,0
313,L,298.4,309.2,1257,43.4,96,0
314,H,298.0,308.5,1579,30.7,15,0
315,M,299.0,305.7,1521,29.5,137,0
316,M,300.5,311.8,1459,43.8,142,0
317,L,303.0,311.9,1358,34.4,25,0
318,L,295.9,305.4,1376,38.1,188,0
319,L,299.6,309.4,1648,46.9,247,0
320,L,297.3,307.7,1695,44.8,14,0
321,L,296.7,307.3,1479,30.8,133,0
322,M,301.9,312.8,1460,39.5,208,0
323,M,301.1,311.9,1385,30.7,108,0
324,L,300.9,311.2,1705,48.7,128,0
325,H,301.8,312.3,1543,55.4,113,0
326,M,299.0,307.9,1603,31.5,86,0
327,L,299.1,308.4,1602,39.7,225,0
328,M,304.4,315.3,1482,49.2,162,0
329,L,299.5,310.3,1329,40.2,123,0
330,L,301.5,312.2,1359,45.6,106,0
331,L,300.0,309.5,1739,40.5,88,1
332,M,296.3,307.2,1408,29.4,128,0
333,L,295.9,304.7,1464,41.2,88,0
334,L,298.8,309.9,1334,51.3,37,0
335,L,302.1,311.9,1320,43.1,207,0
336,L,301.6,313.3,1400,56.2,238,0
337,M,301.8,310.3,1840,22.3,40,0
338,M,298.0,309.8,1655,43.8,139,0
339,L,303.2,312.9,1443,33.5,191,0
340,L,298.1,307.7,1731,31.2,137,0
341,L,300.4,310.6,1510,53.3,154,0
342,L,300.0,309.3,1780,37.4,247,0
343,L,299.7,309.6,1933,36.5,166,0
344,L,302.7,311.9,1722,43.4,233,0
345,L,298.6,307.9,1554,18.5,198,0
346,M,297.3,307.8,1663,53.5,69,0
347,M,300.0,309.1,1540,59.0,44,0
348,L,299.2,308.4,1209,49.2,10,0
349,L,306.8,315.4,1420,44.1,253,0
350,M,301.4,310.8,1367,37.8,23,0
351,L,299.2,310.5,1416,29.2,56,0
352,M,297.9,307.0,1859,51.9,39,0
353,M,296.2,305.5,1738,49.2,88,0
354,L,297.9,308.1,1616,44.5,36,0
355,L,300.2,309.9,1683,43.3,2,0
356,M,302.9,315.1,1199,43.0,195,0
357,L,302.2,312.1,1668,34.7,67,0
358,L,300.5,310.8,1706,65.0,120,0
359,H,299.4,310.3,1137,37.1,232,0
360,L,300.5,311.5,1674,35.7,128,0
361,L,299.0,309.2,1283,51.2,93,0
362,M,303.4,313.3,1185,39.7,206,0
363,L,299.6,311.6,1775,39.8,44,0
364,L,299.8,309.7,1357,54.1,30,0
365,H,295.6,305.1,1409,46.8,36,0
366,L,299.6,309.0,1715,47.3,113,0
367,H,301.7,309.9,1483,25.8,196,0
368,H,297.9,308.7,1505,44.0,42,0
369,L,298.5,306.2,1501,29.9,84,0
370,L,301.6,311.6,1600,35.5,98,0
371,L,297.0,306.8,1497,41.8,3,0
372,L,302.1,314.4,1558,39.6,198,0
373,L,298.9,307.1,1447,46.5,121,0
374,M,299.2,308.3,1600,47.7,28,0
375,L,297.8,307.6,1594,48.5,99,0
376,L,300.8,310.6,1877,26.6,98,0
377,M,304.9,314.4,1469,63.6,95,0
378,L,301.6,311.5,1505,39.8,105,0
379,M,298.3,307.0,1580,52.1,243,0
380,L,302.3,312.6,1710,14.9,138,0
381,L,299.4,307.0,1342,37.3,241,0
382,M,302.7,312.7,1556,25.4,32,0
383,M,301.6,311.0,1089,31.4,180,0
384,M,294.1,305.1,1489,40.5,232,0
385,M,298.0,309.7,1730,36.7,120,0
386,M,301.9,311.6,1408,53.1,16,0
387,L,300.3,311.7,1569,57.7,139,0
388,L,298.0,307.6,1443,30.3,0,0
389,M,298.7,307.8,1384,35.1,183,0
390,M,296.2,307.9,1711,29.7,22,1
391,H,299.8,310.3,1350,51.6,6,0
392,L,304.4,314.4,1590,41.6,77,0
393,L,301.6,312.3,1593,40.3,168,0
394,M,304.4,314.7,1385,43.1,235,0
395,L,301.8,311.7,1565,36.9,52,0
396,H,302.1,310.7,1370,31.4,231,0
397,M,303.9,313.7,1631,40.5,6,0
398,L,300.8,311.4,1302,37.3,205,0
399,M,299.6,309.5,1477,43.5,97,0
400,M,302.1,313.0,1492,23.7,193,0
401,L,302.9,313.3,1737,41.9,252,0
402,H,299.0,308.2,1563,33.1,83,0
403,L,298.6,307.2,1708,41.5,208,0
404,M,300.3,310.1,1637,49.1,73,0
405,L,301.7,311.1,1636,34.4,180,0
406,M,301.6,311.9,1478,52.0,4,0
407,L,297.2,306.4,1720,22.6,96,0
408,L,303.8,313.2,1474,55.4,100,0
409,H,298.7,309.8,1228,52.4,163,0
410,L,299.5,309.6,1499,31.1,43,0
411,L,298.2,307.5,1619,31.2,109,0
412,H,305.4,315.4,1250,25.1,121,0
413,H,300.5,311.9,1379,49.2,138,0
414,L,298.3,308.6,1317,36.7,191,0
415,M,301.7,312.3,1678,36.0,148,0
416,L,301.5,310.8,1837,28.8,131,0
417,L,299.6,310.7,1500,58.1,88,0
418,L,301.7,314.0,1633,30.3,232,0
419,M,298.3,307.6,1628,40.2,34,0
420,M,299.0,307.8,1816,42.2,34,0
421,M,296.0,306.2,1421,36.0,34,0
422,M,297.4,308.2,1498,34.0,166,0
423,L,303.6,313.5,1477,36.3,32,0
424,L,303.3,312.2,1551,45.7,76,0
425,L,300.1,310.0,1986,36.5,67,0
426,L,303.3,313.9,1543,56.3,120,0
427,L,299.7,309.3,1385,32.2,171,0
428,M,299.5,310.1,1331,47.5,231,0
429,L,300.1,311.3,1762,22.4,50,0
430,L,299.8,310.0,1384,32.2,247,0
431,L,299.6,309.5,1656,31.8,37,0
432,M,302.3,313.1,1416,29.0,41,0
433,M,300.3,309.4,1311,42.8,172,0
434,L,301.4,310.5,1646,38.9,29,0
435,L,302.1,311.8,1425,17.2,218,0
436,M,300.8,310.3,1614,60.0,162,0
437,L,298.1,307.3,1627,41.8,27,0
438,M,297.3,309.1,1635,40.0,168,0
439,M,300.3,312.5,1490,53.1,105,0
440,L,299.7,309.3,1660,49.9,172,0
441,L,300.2,310.3,1372,37.0,47,0
442,H,300.0,309.8,1098,20.5,54,0
443,L,305.2,316.3,1664,45.6,135,0
444,L,297.3,308.6,1567,30.4,153,0
445,M,296.0,304.2,1428,52.4,106,0
446,H,300.7,311.1,1274,32.2,225,0
447,H,299.2,307.9,1173,35.5,124,0
448,M,300.6,312.4,1547,26.6,114,0
449,L,301.2,311.6,1833,27.4,156,0
450,L,302.6,311.7,1513,38.9,54,0
451,M,297.0,306.7,1473,38.0,193,0
452,L,298.9,308.6,1533,35.2,69,0
453,L,300.9,311.4,1928,60.5,47,0
454,H,301.5,312.6,1672,46.0,207,0
455,L,304.4,313.2,1370,40.1,6,0
456,L,301.9,313.8,1543,12.4,74,0
457,L,299.9,311.5,1597,48.3,122,0
458,L,298.2,307.3,1348,69.9,79,0
459,L,298.9,308.9,1673,38.1,133,0
460,L,298.8,310.5,1391,31.9,164,0
461,L,301.3,312.5,1267,41.6,136,0
462,M,300.5,310.2,1551,25.7,2,0
463,M,297.4,308.2,1523,44.6,180,0
464,L,299.1,312.1,1537,55.0,92,0
465,H,301.8,311.9,1401,33.3,116,0
466,L,300.7,310.1,1426,33.6,135,0
467,L,301.1,311.3,1739,39.2,167,0
468,M,300.8,311.0,1616,35.0,16,0
469,L,303.3,312.7,1366,24.9,125,0
470,H,300.5,310.9,1188,36.1,229,0
471,L,299.2,308.0,1374,34.1,107,0
472,H,298.2,307.5,1566,53.7,197,0
473,L,300.5,311.3,1424,51.6,46,0
474,M,295.1,303.4,1410,54.0,10,0
475,L,299.6,310.5,1432,48.0,137,1
476,H,299.6,307.6,1524,42.1,60,0
477,L,297.3,305.5,1678,31.3,129,0
478,L,298.1,307.6,1537,53.3,244,0
479,H,301.6,311.9,1549,43.5,156,0
480,L,300.5,311.8,1497,27.5,69,0
481,M,300.2,310.3,1448,30.9,50,0
482,M,300.6,310.4,1698,27.4,240,0
483,L,300.2,310.8,1670,19.5,72,0
484,M,302.5,311.6,1904,43.9,127,0
485,L,300.2,310.4,1647,27.6,193,0
486,H,297.1,305.9,1448,32.4,67,0
487,L,303.3,313.3,1376,40.4,56,0
488,L,300.7,310.6,1708,38.1,168,0
489,H,298.8,308.0,1392,32.9,231,0
490,M,297.5,307.7,1682,55.2,93,0
491,L,300.8,311.0,1401,24.7,191,0
492,M,299.8,310.9,1600,25.2,131,0
493,L,303.1,311.5,1348,44.6,128,0
494,L,299.3,309.2,1677,33.7,234,0
495,L,298.3,307.6,1317,33.3,202,0
496,L,301.8,312.7,1586,29.2,6,0
497,L,301.9,312.6,1502,43.4,81,0
498,L,300.3,310.8,1556,42.3,135,0
499,H,301.4,310.6,1467,41.2,93,1
500,H,299.9,310.8,1462,34.2,78,0
501,M,300.5,308.9,1565,32.5,185,0
502,L,302.3,310.6,1358,38.4,9,0
503,L,301.3,310.0,1357,49.7,109,0
504,M,299.7,309.6,1473,55.7,250,0
505,M,302.7,313.4,1466,51.1,193,0
506,L,295.3,302.3,1358,45.1,105,0
507,H,304.1,315.4,1703,49.8,114,0
508,M,296.6,306.7,1478,28.2,206,0
509,H,298.7,307.2,1497,32.9,149,0
510,M,299.9,310.0,1300,45.2,179,0
511,M,299.7,310.8,1908,38.8,225,0
512,L,302.0,312.6,1972,43.4,176,0
513,H,297.9,309.0,1398,49.8,66,0
514,M,300.5,309.2,1757,48.2,3,0
515,L,298.8,308.4,1521,29.1,88,0
516,L,300.6,309.7,1825,40.1,184,0
517,L,299.9,311.6,1598,30.8,68,0
518,M,300.2,310.8,1555,32.2,203,0
519,H,298.9,311.7,1090,22.9,52,0
520,L,299.0,308.5,1380,41.3,182,0
521,L,300.6,309.8,1541,22.2,151,0
522,L,301.9,311.7,1573,43.9,82,0
523,H,298.8,310.2,1320,53.6,223,0
524,M,298.3,307.9,1407,45.3,126,0
525,M,301.2,311.4,1637,40.5,139,0
526,L,299.9,310.0,1290,55.3,228,0
527,L,301.7,311.7,1561,43.3,182,0
528,L,298.2,307.5,1759,31.4,46,0
529,L,296.4,306.3,1606,41.3,26,0
530,M,298.9,308.8,1598,59.6,145,0
531,M,298.5,308.5,1176,29.1,216,0
532,H,299.8,310.8,1390,26.2,50,0
533,H,298.7,310.5,1905,46.1,86,0
534,L,301.5,310.6,1430,37.8,187,0
535,M,299.4,309.0,1764,34.7,184,0
536,H,300.3,309.5,1428,27.4,120,0
537,M,300.3,310.5,1488,20.5,66,0
538,L,300.4,309.9,1630,25.4,1,0
539,L,300.0,310.2,1556,56.1,138,0
540,L,301.0,312.1,1606,39.9,237,0
541,H,298.4,305.9,1391,20.4,244,0
542,M,302.8,313.3,1334,51.8,100,1
543,L,299.5,309.1,1379,52.3,221,0
544,M,297.4,307.8,1442,52.3,140,0
545,M,300.4,309.5,1496,35.8,167,1
546,L,298.3,309.5,1723,37.3,133,0
547,L,301.3,312.2,1553,41.4,11,0
548,M,304.4,315.0,1624,54.0,230,0
549,L,298.4,309.2,1563,34.5,42,0
550,M,300.7,309.9,1338,32.5,71,0
551,L,296.5,305.9,1541,47.0,72,0
552,M,300.9,311.7,1561,52.1,3,0
553,L,298.2,307.5,1674,39.5,164,0
554,L,298.8,310.2,1346,46.7,163,0
555,M,297.8,307.5,1172,41.1,31,0
556,L,301.5,312.0,1569,37.5,184,0
557,L,302.0,314.1,1601,31.7,139,0
558,L,300.0,309.3,1505,28.5,145,0
559,M,298.3,308.3,1543,33.9,188,0
560,M,303.2,314.2,1695,30.2,30,0
561,M,298.5,309.5,1455,42.8,238,0
562,L,295.7,305.3,1488,52.2,167,0
563,L,300.9,310.4,1552,42.0,106,0
564,L,297.8,307.6,1319,30.8,173,0
565,L,302.0,313.4,1510,48.6,166,0
566,L,299.2,309.0,1526,43.0,62,0
567,L,301.2,311.3,1831,44.9,220,0
568,L,302.8,312.4,1484,34.8,239,0
569,H,297.6,308.3,1573,51.3,54,0
570,L,298.9,309.0,1702,51.3,39,0
571,L,299.8,308.8,1388,38.2,156,0
572,M,303.1,312.1,1784,47.2,218,0
573,L,298.7,306.7,1853,51.0,138,0
574,M,298.8,308.0,1532,35.3,96,0
575,M,301.0,311.8,1441,39.2,240,0
576,H,298.8,310.2,1829,40.8,38,0
577,L,300.3,311.0,1680,29.0,209,0
578,H,296.9,307.5,1552,44.4,171,0
579,L,304.4,314.3,1793,50.2,19,0
580,L,297.3,308.1,1774,38.6,219,0
581,L,299.4,309.6,1477,43.4,213,0
582,H,299.9,311.7,1582,54.0,95,0
583,L,303.8,313.7,1641,35.9,84,0
584,L,297.4,308.7,1543,43.6,100,0
585,M,304.0,314.8,1289,34.3,26,0
586,L,301.5,312.2,1370,34.0,37,0
587,L,300.8,308.8,1294,43.4,217,0
588,L,298.0,309.0,1626,42.4,86,0
589,L,301.1,311.0,1326,45.6,97,0
590,L,298.6,308.1,1572,40.8,75,0
591,L,302.5,311.1,1865,44.7,10,0
592,M,298.1,308.1,1793,56.7,163,1
593,L,299.8,309.8,1209,50.6,159,0
594,L,298.9,307.6,1309,43.4,230,0
595,M,298.0,306.6,1399,45.0,228,0
596,L,301.5,312.0,1328,37.0,106,0
597,M,301.1,311.9,1241,38.4,189,0
598,L,302.4,312.6,1536,44.9,123,0
599,L,296.4,307.6,1664,40.9,15,0
600,L,302.1,312.0,1708,47.9,41,0
601,L,305.0,315.0,1453,52.7,158,0
602,L,299.1,308.2,1489,39.0,232,1
603,L,303.8,312.2,1601,19.9,69,0
